Date,Open,High,Low,Close,Adj Close,Volume
21-06-2018,625,627.900024,618.724976,623.174988,576.691467,101388
22-06-2018,622.75,627,620.900024,623.224976,576.737793,78710
25-06-2018,625,639.474976,625,636.150024,588.698669,290806
26-06-2018,634.950012,641.900024,630,638.924988,591.266602,153978
27-06-2018,640.575012,646.950012,632.150024,634.599976,587.264282,201170
28-06-2018,634.599976,649.099976,634.599976,644.424988,596.356384,196668
29-06-2018,647.599976,656.724976,642,653.375,604.638733,237246
02-07-2018,656.950012,670.900024,656.950012,667.224976,617.455688,241902
03-07-2018,670,679,666.650024,676.825012,626.339661,274660
04-07-2018,676.5,677.474976,669.849976,672.299988,622.152161,131976
05-07-2018,674.900024,675,634.424988,642.25,594.343628,914538
06-07-2018,640,650.674988,634.75,642.25,594.343628,397914
09-07-2018,646.275024,651.5,639.75,649.575012,601.122314,296840
10-07-2018,652.599976,657.75,647.5,651.25,602.672302,273558
11-07-2018,655,670.950012,646.5,660.174988,610.93158,598286
12-07-2018,662,663.349976,642.299988,647.299988,599.016968,989930
13-07-2018,655,665.674988,650.075012,654.549988,605.726196,2211442
16-07-2018,662.5,692.200012,644.174988,666.525024,616.807983,1918862
17-07-2018,666.349976,674.400024,656.75,663.700012,614.193604,532454
18-07-2018,670,671.599976,657.174988,661.200012,611.880188,369338
19-07-2018,661.200012,665.150024,655.424988,658.275024,609.173218,232292
20-07-2018,660.525024,683.525024,660.525024,674.174988,623.887329,1632896
23-07-2018,675.049988,684.025024,668.349976,677.875,627.311401,260560
24-07-2018,681,689.900024,678.25,688,636.681091,226976
25-07-2018,690,696.049988,683.049988,691.849976,640.243896,385108
26-07-2018,690,694.849976,684.5,687.599976,636.310852,1789150
27-07-2018,690,694.150024,685,687.275024,636.010254,2532768
30-07-2018,692.5,692.5,675,676.575012,626.108337,3184204
31-07-2018,675,685.025024,667.5,682.5,631.59137,5726144
01-08-2018,682.924988,684,675.5,676.875,626.385925,2352322
02-08-2018,677.549988,683.224976,675.549988,677.700012,627.149353,139232
03-08-2018,680,683.200012,678.200012,682.049988,631.174805,3163640
06-08-2018,682.5,687.900024,674.025024,680.400024,629.647949,219604
07-08-2018,683.5,688.775024,680.924988,684.700012,633.627258,285450
08-08-2018,684.049988,687.075012,677.150024,681.450012,630.619751,127290
09-08-2018,683.025024,694.900024,683.025024,690.150024,638.670715,316758
10-08-2018,691.150024,694.450012,686.775024,692.599976,640.937927,122946
13-08-2018,692.5,705.5,689.900024,704.724976,652.15863,562436
14-08-2018,705.174988,712,701.700012,704.375,651.834656,242610
16-08-2018,705.625,717.349976,705.625,712.650024,659.492371,254296
17-08-2018,716.424988,718.325012,711.724976,715.674988,662.291809,181322
20-08-2018,694.349976,704,686.775024,692.599976,640.937927,1038672
21-08-2018,693.049988,697,687.125,692.150024,640.521545,501664
23-08-2018,694.150024,701.325012,693.174988,699.599976,647.415771,205488
24-08-2018,696.275024,701.5,688,689.974976,638.50885,1123256
27-08-2018,691.674988,709.450012,691.674988,707.450012,654.68042,271808
